9,2014,12,3,CNTRL,ONT,15
10,2014,12,3,CNTRL,ONT,11
11,2014,12,3,CNTRL,STL,14462
17,2014,12,3,CNTRL,ONT,4
7,2014,11,3,CNTRL,ONT,35
7,2014,11,3,CNTRL,ONT,49
8,2014,11,3,CNTRL,ONT,24
9,2014,11,3,CNTRL,ONT,11
9,2014,11,3,CNTRL,ONT,55
22,2014,11,3,CNTRL,STL,14462
25,2014,11,3,CNTRL,ONT,4
7,2014,10,3,CNTRL,ROM,5291
7,2014,10,3,CNTRL,SAC,4
9,2014,10,3,CNTRL,ONT,20
10,2014,10,3,CNTRL,ONT,11
16,2014,10,3,CNTRL,ONT,15
33,2014,10,3,CNTRL,ONT,4
7,2014,9,3,CNTRL,ATL,4
7,2014,9,3,CNTRL,ONT,2
8,2014,9,3,CNTRL,ONT,7
8,2014,9,3,CNTRL,ONT,11
10,2014,9,3,CNTRL,ONT,24
10,2014,9,3,CNTRL,ONT,44
19,2014,9,3,CNTRL,ONT,4
7,2014,8,3,CNTRL,ONT,15
7,2014,8,3,CNTRL,ONT,20
7,2014,8,3,CNTRL,ONT,31
8,2014,8,3,CNTRL,MIA,1
10,2014,8,3,CNTRL,ONT,11
22,2014,8,3,CNTRL,ONT,4
7,2015,12,3,CNTRL,ONT,49
9,2015,12,3,CNTRL,EWR,25045
9,2015,12,3,CNTRL,MEM,4
9,2015,12,3,CNTRL,ONT,11
9,2015,12,3,CNTRL,ONT,24
13,2015,12,3,CNTRL,ONT,15
14,2015,12,3,CNTRL,ONT,1960
16,2015,12,3,CNTRL,ONT,7
8,2015,11,3,CNTRL,ONT,15
10,2015,11,3,CNTRL,ONT,11
8,2015,10,3,CNTRL,ONT,4
8,2015,10,3,CNTRL,ONT,18
9,2015,10,3,CNTRL,ONT,9
12,2015,10,3,CNTRL,STL,13605
7,2015,9,3,CNTRL,ONT,24
8,2015,9,3,CNTRL,ONT,2
8,2015,9,3,CNTRL,STL,13605
10,2015,9,3,CNTRL,ONT,11
7,2015,8,3,CNTRL,ONT,3
7,2015,8,3,CNTRL,ONT,20
7,2015,8,3,CNTRL,ONT,24
8,2015,8,3,CNTRL,ONT,9
8,2015,8,3,CNTRL,ONT,15
10,2015,8,3,CNTRL,MEM,4
11,2015,8,3,CNTRL,ONT,2
11,2015,8,3,CNTRL,ONT,4
14,2015,8,3,CNTRL,STL,13605
8,2015,7,3,CNTRL,ONT,2
9,2015,7,3,CNTRL,ONT,49
16,2015,7,3,CNTRL,ONT,4
16,2015,7,3,CNTRL,ONT,15
17,2015,7,3,CNTRL,STL,13605
7,2015,6,3,CNTRL,MEM,2
7,2015,6,3,CNTRL,ONT,20
7,2015,6,3,CNTRL,ONT,24
8,2015,6,3,CNTRL,ONT,37
8,2015,6,3,CNTRL,ONT,97
9,2015,6,3,CNTRL,ONT,2
9,2015,6,3,CNTRL,ONT,9
9,2015,6,3,CNTRL,ONT,33
10,2015,6,3,CNTRL,ONT,11
14,2015,6,3,CNTRL,ONT,15
18,2015,6,3,CNTRL,ONT,4
20,2015,6,3,CNTRL,STL,13605
7,2015,5,3,CNTRL,ONT,2
8,2015,5,3,CNTRL,ONT,11
8,2015,5,3,CNTRL,ONT,24
11,2015,5,3,CNTRL,ONT,15
14,2015,5,3,CNTRL,ONT,4
17,2015,5,3,CNTRL,STL,13605
8,2015,4,3,CNTRL,MEM,4
8,2015,4,3,CNTRL,ONT,9
18,2015,4,3,CNTRL,ONT,2
18,2015,4,3,CNTRL,STL,13605
23,2015,4,3,CNTRL,ONT,15
7,2015,3,3,CNTRL,BOS,4
7,2015,3,3,CNTRL,ONT,29
9,2015,3,3,CNTRL,ONT,11
10,2015,3,3,CNTRL,STL,13605
12,2015,3,3,CNTRL,ONT,15
14,2015,3,3,CNTRL,STL,14462
24,2015,3,3,CNTRL,ONT,2
7,2015,2,3,CNTRL,ONT,11
8,2015,2,3,CNTRL,ONT,4
9,2015,2,3,CNTRL,ONT,2
11,2015,2,3,CNTRL,ONT,20
24,2015,2,3,CNTRL,STL,14462
7,2015,1,3,CNTRL,ONT,2
12,2015,1,3,CNTRL,ONT,4
